ano,nome,instituicao_ensino_aluno,idade_aluno,anos_pm,ponto_virada,inde,inde_conceito,pedra,destaque_ieg,destaque_ida,destaque_ipv,iaa,ieg,ips,ida,ipp,ipv,ian,fase,turma,sinalizador_ingressante,rec_ava_1,rec_ava_2,rec_ava_3,rec_ava_4,defasagem,fase_ideal,ano_ingresso,bolsista,cg,cf,ct,nota_port,nota_mat,nota_ing,qtd_aval,indicado_bolsa
2022,aluno185,,,,0.0,7.617045315375983,,Ametista,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,8.500020000000001,8.243546576879911,8.125,8.8,5.625,7.41667,5.0,ALFA,A,,Promovido de Fase,Mantido na Fase atual,,,,Fase 1 ,2021,0.0,269.0,75.0,4.0,8.833333333333334,8.766666666666667,,2,0.0
2020,aluno1054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,aluno794,Rede Decisão/União,11,3,1.0,8.281114,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.000020000000001,9.6,6.25,6.5,7.916666666666668,8.722226666666666,10.0,Fase 2,L,,,,,,,,,,,,,,,,,
2022,aluno290,,,,0.0,7.175127373737373,,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,9.000020000000001,8.118686868686869,7.5,4.5,6.458333333333334,6.777773333333332,10.0,Fase 2,M,,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,,,Fase 2 ,2022,0.0,439.0,68.0,5.0,5.0,4.0,,3,0.0
2020,aluno612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,aluno186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,aluno854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,aluno15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,aluno340,Escola Pública,14,2,0.0,7.595277333333334,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.33334,9.4,7.5,7.0,8.541666666666666,6.888883333333333,5.0,Fase 3,C,,,,,,,,,,,,,,,,,
2021,aluno203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,aluno965,Escola Pública,,,0.0,7.239,,Ametista,,,,8.8,6.1,7.5,5.0,7.5,8.2,10.0,Fase 3,C,Veterano,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,Não avaliado,0.0,Fase 3 ,,,,,,,,,,
2021,aluno557,Escola Pública,,,0.0,7.543,,Ametista,,,,9.0,8.3,6.9,5.9,8.1,8.9,5.0,Fase 2,M,Veterano,Mantido na Fase atual,Promovido de Fase,Promovido de Fase,Não avaliado,-1.0,Fase 3 ,,,,,,,,,,
2021,aluno1002,Escola Pública,,,0.0,7.693,,Ametista,,,,8.8,8.3,7.5,7.5,7.7,8.1,5.0,Fase 3,J,Veterano,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase,Não avaliado,-2.0,Fase 5 ,,,,,,,,,,
2021,aluno69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,aluno168,,,,0.0,6.434172224089636,,Ágata,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,9.000020000000001,6.002801120448179,6.25,6.133333333333333,6.041666666666667,6.888883333333332,5.0,Fase 2,Q,,Mantido na Fase atual,Mantido na Fase atual,Promovido de Fase,,,Fase 3 ,2019,0.0,654.0,117.0,9.0,3.1,9.166666666666666,,3,0.0
2022,aluno715,,,,0.0,6.996003683501685,,Ágata,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,9.000020000000001,7.417508417508417,7.5,6.75,5.625,7.25,5.0,Fase 1,U,,Mantido na Fase atual,Promovido de Fase,,,,Fase 2 ,2022,0.0,488.0,128.0,10.0,6.5,7.0,,2,0.0
2021,aluno194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,aluno184,Escola Pública,,,0.0,7.896,,Ametista,,,,8.5,9.2,7.5,5.6,7.5,8.0,10.0,Fase 2,I,Ingressante,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,0.0,Fase 2 ,,,,,,,,,,
2022,aluno215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
